scenario,throughput_txn_per_s,avg_latency_ms,abort_rate_per_s
baseline_stress,62,133,n/a,6.80
dbtest_baseline_tpcc,70,611,0.0277,10.55
batch_validation_stress,42,364,n/a,6.80
batch_validation_stress_all_optimizations,19,515,n/a,3.40
batch_validation_stress_highbatch,56,824,n/a,3.40
batch_validation_stress_parallel_validation,60,375,n/a,3.40
batch_validation_stress_reorder_minid,34,519,n/a,6.80
batch_validation_stress_reorder_prod,37,280,n/a,6.80
batch_validation_stress_storage,18,275,n/a,6.80
batch_validation_stress_storage_wait200,18,640,n/a,6.80
batch_validation_stress_wait500,38,833,n/a,6.80
dbtest_batch_validation_all_optimizations,13,250,0.1502,1.72
dbtest_batch_validation_reorder_minid,24,435,0.0812,3.57
dbtest_batch_validation_reorder_prod,24,621,0.0806,3.80
dbtest_batch_validation_storage,14,225,0.1399,1.79
dbtest_batch_validation_tpcc,26,281,0.0755,5.12
dbtest_parallel_validation_tpcc,27,808,0.0713,3.74
stress_reorder_parallel_threads,65,566,n/a,0.3400
stress_reorder_prod,64,090,n/a,0.3400
