scenario,throughput_txn_per_s,avg_latency_ms,abort_rate_per_s
baseline_stress,133,143,n/a,6.80
dbtest_baseline_tpcc,72,205,0.0271,10.27
batch_validation_stress,37,280,n/a,6.80
batch_validation_stress_all_optimizations,30,667,n/a,3.40
batch_validation_stress_highbatch,83,402,n/a,4.09
batch_validation_stress_parallel_validation,56,824,n/a,3.40
batch_validation_stress_reorder_minid,42,364,n/a,6.80
batch_validation_stress_reorder_prod,40,522,n/a,6.80
batch_validation_stress_storage,19,020,n/a,6.80
batch_validation_stress_storage_wait200,17,923,n/a,6.80
batch_validation_stress_wait500,46,600,n/a,6.80
dbtest_batch_validation_all_optimizations,13,348,0.1491,1.85
dbtest_batch_validation_reorder_minid,23,126,0.0858,3.44
dbtest_batch_validation_reorder_prod,22,231,0.0893,3.64
dbtest_batch_validation_storage,11,360,0.1753,1.85
dbtest_batch_validation_tpcc,26,484,0.0749,4.27
dbtest_parallel_validation_tpcc,25,510,0.0778,4.00
stress_reorder_parallel_threads_4c,155,094,n/a,0.5463
stress_reorder_parallel_threads_8c,130,815,n/a,1.15
stress_reorder_prod_16c,146,370,n/a,0.9256
stress_reorder_prod_1c,37,750,n/a,0.3400
stress_reorder_prod_2c,67,566,n/a,0.3400
stress_reorder_prod_4c,124,575,n/a,0.3400
stress_reorder_prod_8c,154,278,n/a,0.8762
